supplier_country,supplier_region,political_stability_index,infrastructure_score,natural_disaster_frequency,corruption_index,conflict_score,sanctions_exposure,export_restriction_risk,diplomatic_relations_score,distance_km,is_landlocked,supplier_tenure_years,contract_type,communication_responsiveness_hours,num_alternative_suppliers,supplier_tier,quality_incidents,audit_score,iso_certified,regulatory_violations,financial_stability_index,debt_to_equity,payment_delay_days,dependency_ratio,revenue_trend_yoy,num_employees,on_time_delivery_rate,avg_lead_time_days,lead_time_variability,order_fulfillment_rate,capacity_utilization,past_disruptions_lagged,avg_recovery_time_lagged,inventory_buffer_days,num_active_contracts,transport_mode,labor_strike_history,archetype,risk_level
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,72.9,100,0,14,long-term,13.0,4,Tier 1,0,82.8,1,0,76.7,0.17,1.1,9.4,7.9,2073,98.2,3,0.1,99.2,56.3,0,0.0,32,9,air,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,66.0,462,0,15,long-term,10.1,4,Tier 2,0,95.9,1,0,85.6,0.0,5.8,12.1,12.2,2117,95.7,5,2.1,92.7,60.8,1,0.0,42,1,sea,1,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,68.8,353,0,9,long-term,1.0,5,Tier 1,0,78.1,1,1,92.8,0.36,-5.0,16.9,19.0,1866,98.7,6,2.9,94.6,71.9,0,0.1,36,2,land,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,77.3,1885,0,11,long-term,1.0,4,Tier 2,0,87.9,1,0,50.2,0.19,-3.6,23.9,9.2,2762,100.0,4,2.5,100.0,66.4,1,6.0,39,12,air,0,0,0
Iceland,Western Europe,1.21,65.0,0.2,77.0,0.0,0,0,66.7,1765,0,8,long-term,16.7,6,Tier 1,0,81.2,1,0,95.0,0.21,1.3,15.2,5.2,2151,94.5,12,0.4,97.6,75.1,0,13.9,29,1,air,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,83.7,623,0,11,long-term,11.7,4,Tier 2,0,71.6,1,0,90.8,0.42,14.4,26.2,11.4,1713,89.0,7,0.0,90.9,61.1,0,0.0,36,8,land,0,0,0
Greece,Western Europe,0.24,67.5,3.8,50.0,0.0,0,1,68.2,1250,0,11,long-term,1.0,4,Tier 1,1,83.1,1,0,88.9,0.27,0.2,17.7,8.4,1840,99.6,7,3.9,100.0,70.6,0,0.0,31,1,land,0,0,3
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,71.3,1014,0,11,long-term,3.7,4,Tier 2,0,96.1,1,0,67.3,0.0,-0.2,15.9,14.4,2474,96.4,7,0.0,100.0,63.1,0,0.4,36,12,land,0,0,0
Luxembourg,Western Europe,1.05,65.0,0.3,78.0,0.0,0,0,62.6,188,0,10,long-term,10.7,5,Tier 2,1,89.7,1,0,81.5,0.13,-1.3,33.4,10.0,2078,85.8,10,4.2,93.3,84.0,0,2.9,42,2,air,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,87.0,1468,0,13,long-term,2.2,4,Tier 2,0,100.0,1,1,89.8,0.39,-5.0,19.7,21.4,2404,100.0,3,0.0,97.4,65.3,0,7.5,32,3,land,0,0,0
Netherlands,Western Europe,0.66,80.0,1.1,78.0,0.0,0,0,82.1,582,0,14,long-term,1.0,5,Tier 1,0,99.0,1,1,77.0,0.23,-1.0,16.6,8.6,2045,93.1,10,0.6,98.8,80.4,0,0.0,34,10,land,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,78.2,623,0,13,long-term,1.0,5,Tier 1,0,72.6,1,0,93.1,0.0,-0.3,24.8,16.3,2187,97.1,6,0.0,93.5,66.4,0,0.0,37,7,land,0,0,0
Luxembourg,Western Europe,1.05,65.0,0.3,78.0,0.0,0,1,80.7,1006,0,12,long-term,8.0,6,Tier 2,0,67.7,1,0,75.0,1.04,4.5,26.5,12.6,2394,97.0,14,0.6,94.6,75.9,0,1.9,33,1,air,0,0,3
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,81.1,1714,0,8,spot,1.0,4,Tier 3,0,99.7,1,1,67.5,0.25,-5.0,16.5,13.2,2070,94.6,20,0.0,91.4,74.9,0,0.0,31,4,air,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,96.8,324,1,13,long-term,18.2,5,Tier 2,0,100.0,1,1,98.5,0.71,-0.3,11.2,12.5,1840,87.2,4,1.3,95.1,63.8,0,1.2,38,7,air,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,95.8,100,0,12,long-term,18.2,5,Tier 2,0,74.8,1,0,58.5,0.59,-2.1,25.0,13.3,1994,100.0,5,0.8,95.2,55.4,0,4.8,34,1,land,0,0,0
Iceland,Western Europe,1.21,65.0,0.2,77.0,0.0,0,0,83.0,140,0,12,long-term,13.1,5,Tier 2,0,100.0,1,0,90.6,0.05,-3.5,13.3,10.1,1648,100.0,12,1.3,96.1,60.8,0,0.0,43,11,air,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,91.5,1667,0,12,long-term,1.0,5,Tier 1,0,82.4,1,0,50.2,0.0,5.0,18.4,18.6,1660,88.8,9,1.2,99.5,70.6,0,4.1,39,6,land,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,80.6,133,0,13,long-term,1.0,4,Tier 1,0,90.0,0,0,92.5,0.0,6.5,17.1,13.3,1880,99.7,6,2.6,90.8,66.1,0,4.0,40,1,air,0,0,0
Spain,Western Europe,0.29,70.0,2.9,55.0,0.0,0,0,78.3,2305,0,10,long-term,1.0,3,Tier 1,0,95.7,1,0,91.5,0.26,8.2,4.3,4.4,1792,96.8,7,0.4,99.8,57.5,0,9.2,38,4,air,0,0,0
Greece,Western Europe,0.24,67.5,3.8,50.0,0.0,0,0,89.5,194,0,12,long-term,1.0,3,Tier 2,0,94.5,1,0,83.3,0.02,11.4,10.0,17.1,1672,98.9,9,0.8,95.1,63.4,1,0.0,47,4,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,68.4,100,1,13,long-term,1.0,4,Tier 3,0,87.8,1,0,99.8,0.91,0.9,13.3,12.7,2157,99.6,14,4.0,97.0,77.9,0,7.9,32,4,air,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,81.2,1139,1,10,long-term,1.0,4,Tier 2,0,100.0,1,2,91.1,0.0,-2.3,0.0,14.0,2194,94.6,15,0.0,90.7,66.3,0,7.2,34,11,sea,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,1,0,69.7,100,0,11,long-term,12.3,5,Tier 2,0,77.7,1,0,83.9,0.01,-2.0,6.5,19.7,2541,93.6,8,0.0,100.0,71.3,0,0.5,44,10,land,0,0,4
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,77.9,100,0,12,long-term,1.0,3,Tier 2,0,77.9,1,0,80.3,1.02,-0.1,25.9,9.4,2013,90.8,10,1.1,93.5,59.7,0,10.1,27,6,land,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,85.8,896,0,13,long-term,1.0,5,Tier 3,0,80.2,1,0,86.8,0.37,-3.0,17.8,15.1,2042,99.5,12,0.0,100.0,67.1,0,0.0,33,5,air,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,92.2,1361,0,15,long-term,1.0,4,Tier 1,0,90.1,1,0,75.1,0.0,-4.2,1.8,20.2,2303,93.6,20,2.3,96.4,50.0,0,13.5,29,1,land,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,82.0,1114,0,10,long-term,1.0,3,Tier 1,0,82.1,1,0,100.0,0.61,-4.0,0.0,11.3,1952,92.2,9,3.6,99.1,66.0,0,0.0,35,6,sea,0,0,0
Sweden,Western Europe,0.76,80.0,0.5,80.0,0.0,0,0,81.7,1401,0,11,long-term,16.4,5,Tier 1,0,83.4,1,0,90.2,0.01,-2.8,19.5,18.1,2487,89.3,8,3.0,89.6,66.9,0,2.0,31,11,land,0,0,0
Belgium,Western Europe,0.4,77.5,1.7,69.0,0.0,0,0,78.0,642,0,12,long-term,1.0,4,Tier 1,0,100.0,1,1,100.0,0.47,-4.5,14.4,14.8,2023,99.7,1,1.1,90.9,64.3,0,0.0,42,1,land,0,0,0
Iceland,Western Europe,1.21,65.0,0.2,77.0,0.0,0,0,93.5,1565,0,10,long-term,1.0,3,Tier 1,0,94.1,1,0,84.9,0.64,-0.6,14.0,16.6,1913,98.3,8,0.0,100.0,64.0,0,0.0,30,9,sea,0,0,0
Finland,Western Europe,0.71,80.0,0.2,88.0,0.0,0,0,91.1,843,0,12,long-term,1.0,4,Tier 1,0,83.7,1,0,78.1,0.27,-3.8,10.9,10.2,1788,98.5,2,0.8,94.4,55.8,0,6.6,22,8,air,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,91.5,1407,0,12,long-term,1.0,4,Tier 2,0,93.1,1,0,84.8,0.53,-0.4,5.3,18.0,1952,96.9,1,0.1,93.6,64.0,0,10.6,31,1,land,0,0,0
Iceland,Western Europe,1.21,65.0,0.2,77.0,0.0,0,0,89.4,594,0,12,long-term,6.9,5,Tier 1,0,94.6,1,0,87.4,0.29,-4.1,26.9,18.2,1339,93.0,5,2.2,98.2,60.9,1,5.5,34,4,sea,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,72.9,746,0,12,long-term,15.4,4,Tier 1,0,82.7,1,0,79.9,0.0,0.1,20.1,10.4,1999,100.0,4,1.3,89.7,57.6,1,5.0,29,5,air,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,83.9,731,0,11,long-term,11.8,4,Tier 2,0,95.8,1,0,100.0,0.55,0.6,24.0,8.9,2143,95.7,6,2.0,93.4,72.7,0,0.0,43,6,land,0,0,0
France,Western Europe,0.34,70.0,5.8,66.0,0.2,0,0,83.7,1778,0,11,long-term,1.0,3,Tier 1,0,95.4,1,0,80.8,0.0,3.9,12.4,21.0,2024,95.9,4,0.4,98.6,80.1,0,0.3,30,6,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,71.3,645,0,10,long-term,1.0,5,Tier 3,1,95.0,1,0,81.5,0.4,4.7,12.0,18.0,1419,90.7,8,0.0,92.1,61.8,0,5.9,37,3,air,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,82.7,1912,0,12,long-term,29.6,5,Tier 1,0,96.2,1,0,88.5,0.35,-5.0,6.1,13.8,1934,92.8,1,0.3,100.0,61.8,0,1.9,23,8,land,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,98.9,498,0,12,spot,38.3,4,Tier 1,0,84.4,1,2,76.8,0.23,1.3,34.1,17.1,1315,98.2,15,0.0,100.0,63.6,0,7.8,29,7,air,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,81.4,979,0,8,long-term,2.5,5,Tier 2,0,92.2,1,0,80.0,0.02,-0.6,21.4,13.8,2476,92.6,7,0.0,93.4,72.6,0,0.0,24,1,air,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,100.0,234,0,14,long-term,1.0,4,Tier 1,0,97.7,1,0,92.9,0.19,-0.9,2.2,9.9,2027,100.0,1,0.0,100.0,59.8,1,7.7,37,2,land,2,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,92.0,1061,0,10,long-term,11.9,4,Tier 2,0,100.0,1,0,63.8,0.06,5.5,14.8,7.0,1849,100.0,9,0.4,96.2,62.6,0,0.0,39,9,land,0,0,0
France,Western Europe,0.34,70.0,5.8,66.0,0.2,0,0,95.4,498,0,11,long-term,1.0,5,Tier 3,0,85.9,1,0,87.8,0.6,-2.9,3.6,5.4,1826,92.2,4,2.8,96.1,62.7,0,1.9,37,1,sea,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,1,97.0,2445,0,16,long-term,11.0,4,Tier 1,0,87.7,1,0,93.3,0.08,2.3,30.3,10.2,2238,99.8,20,0.0,100.0,55.2,0,0.0,44,7,air,0,0,3
Finland,Western Europe,0.71,80.0,0.2,88.0,0.0,0,0,100.0,100,0,15,long-term,14.1,3,Tier 1,0,90.2,1,1,85.4,0.98,-4.1,16.9,8.3,1604,93.9,6,0.2,94.5,56.6,0,1.6,31,1,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,81.3,100,0,11,long-term,1.0,5,Tier 1,0,85.3,1,0,80.6,0.33,-2.5,16.1,15.8,1974,95.2,1,1.7,99.7,57.9,0,6.2,40,1,sea,0,0,0
Norway,Western Europe,0.89,72.5,0.5,81.0,0.0,0,0,83.4,861,0,13,long-term,1.0,3,Tier 2,0,100.0,1,1,88.8,0.55,-0.7,7.6,3.5,1806,100.0,3,0.0,100.0,70.1,0,8.4,32,11,land,0,0,0
Germany,Western Europe,0.59,82.5,2.3,77.0,0.0,0,0,71.9,471,0,10,long-term,1.0,5,Tier 1,0,100.0,1,0,94.6,0.95,-5.0,9.1,11.9,2084,93.0,9,0.1,97.9,68.3,0,2.0,30,3,air,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,93.4,533,0,9,long-term,1.0,3,Tier 2,0,91.1,1,0,67.0,0.08,-4.9,8.8,11.2,1858,87.1,10,0.0,99.2,77.4,0,0.0,36,8,land,0,0,0
Netherlands,Western Europe,0.66,80.0,1.1,78.0,0.0,0,0,88.7,487,0,11,long-term,16.1,4,Tier 1,1,89.8,1,0,91.4,0.01,0.2,0.0,25.6,1919,100.0,4,1.4,100.0,72.0,0,1.0,38,1,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,100.0,1168,0,11,long-term,18.2,5,Tier 3,0,91.1,0,0,97.1,0.0,-0.1,16.5,8.9,2094,100.0,2,2.2,92.4,77.7,0,5.9,31,5,sea,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,90.1,529,0,10,long-term,1.0,4,Tier 2,0,87.3,1,0,80.9,0.0,-4.5,20.8,15.4,2122,100.0,5,3.9,100.0,49.9,0,11.0,30,1,land,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,91.7,1450,0,10,long-term,1.0,5,Tier 2,1,97.4,1,0,86.8,0.0,0.0,25.6,2.6,1643,97.9,9,1.9,98.6,67.8,0,6.5,38,3,air,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,82.8,100,0,7,long-term,2.5,3,Tier 2,0,89.5,1,0,87.2,0.0,7.1,8.8,16.7,1902,100.0,14,1.8,100.0,64.4,1,0.0,36,3,land,0,0,0
France,Western Europe,0.34,70.0,5.8,66.0,0.2,0,0,87.1,866,0,10,spot,20.9,5,Tier 2,0,82.4,1,0,68.0,0.17,-3.2,11.6,13.2,2329,96.0,2,0.0,95.7,53.7,0,0.0,31,7,land,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,1,87.1,995,0,7,long-term,1.0,4,Tier 2,0,76.9,1,1,90.4,0.32,-2.0,8.5,8.7,1821,98.7,1,1.4,100.0,67.0,0,0.2,43,1,air,0,0,3
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,98.4,1691,0,9,long-term,2.8,3,Tier 2,0,84.2,1,1,71.9,0.38,10.4,0.0,11.7,2337,98.5,10,0.0,100.0,60.4,0,3.5,22,4,sea,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,87.3,270,1,13,spot,1.0,4,Tier 2,0,90.2,1,0,92.2,0.0,-5.0,19.7,19.4,2107,95.4,6,0.0,100.0,70.3,0,0.0,34,1,air,0,0,0
Norway,Western Europe,0.89,72.5,0.5,81.0,0.0,0,0,62.6,1606,0,13,long-term,1.0,3,Tier 1,1,95.8,1,0,87.1,0.22,-5.0,34.8,14.7,2790,93.0,12,2.0,96.5,73.5,0,0.0,28,4,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,85.1,1368,0,13,long-term,9.1,5,Tier 2,0,95.9,1,0,79.3,0.0,2.5,0.0,8.3,1693,91.9,2,2.6,100.0,63.5,0,7.7,41,1,sea,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,1,77.8,1938,0,11,long-term,6.4,3,Tier 2,0,94.2,0,0,91.5,0.0,4.3,5.0,10.1,2075,100.0,25,1.7,97.1,68.2,0,6.4,39,4,land,0,0,3
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,80.6,432,0,13,long-term,20.1,2,Tier 1,0,93.9,1,1,81.0,0.42,1.4,27.5,12.3,2877,98.5,17,0.0,100.0,63.9,0,0.0,36,5,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,90.1,653,0,12,long-term,4.5,4,Tier 1,0,86.6,1,0,83.9,0.58,0.3,24.5,8.4,1617,95.8,2,0.0,99.1,62.0,1,0.0,32,5,land,0,0,0
Norway,Western Europe,0.89,72.5,0.5,81.0,0.0,0,0,75.4,829,0,15,long-term,4.8,5,Tier 1,0,93.9,1,1,100.0,0.05,-5.0,14.1,22.2,2231,92.5,15,0.0,100.0,70.1,0,10.8,46,1,air,0,0,0
Denmark,Western Europe,0.85,77.5,0.4,89.0,0.0,0,0,91.8,100,1,10,long-term,1.0,4,Tier 1,0,96.6,1,0,100.0,0.85,-5.0,21.9,9.5,2079,98.5,5,0.0,94.5,59.5,0,0.0,44,3,land,0,0,0
Canada,North America,0.82,82.5,3.0,75.0,0.0,0,0,83.4,100,0,11,long-term,22.9,5,Tier 1,0,84.0,1,0,80.8,0.85,0.7,23.9,12.0,2382,91.2,7,0.2,100.0,74.0,0,2.0,37,1,land,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,69.9,1451,0,13,long-term,1.0,4,Tier 1,0,97.7,1,0,100.0,0.8,-5.0,1.8,14.4,2164,99.7,4,0.6,99.6,65.5,1,0.0,34,1,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,78.9,100,0,7,long-term,1.0,4,Tier 1,0,70.7,1,0,78.2,0.69,-5.0,20.5,19.9,1826,100.0,17,0.4,96.3,59.6,0,0.0,31,1,land,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,89.6,1433,0,10,long-term,12.7,6,Tier 1,1,100.0,1,1,85.1,0.46,0.5,10.8,17.5,2215,100.0,8,0.0,100.0,63.4,0,3.8,37,6,land,0,0,0
Ireland,Western Europe,0.9,62.5,0.8,76.0,0.0,0,0,81.7,1553,0,11,long-term,6.2,4,Tier 3,0,100.0,1,0,72.5,0.0,-1.9,8.8,20.8,1915,100.0,12,0.5,100.0,66.6,0,9.6,37,10,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,97.9,2021,0,11,long-term,1.0,4,Tier 2,0,91.7,1,0,100.0,0.74,-1.5,2.8,7.1,2280,93.8,1,0.0,94.6,70.1,0,1.2,30,10,sea,0,0,0
Iceland,Western Europe,1.21,65.0,0.2,77.0,0.0,0,1,93.0,1358,0,11,long-term,1.0,4,Tier 2,1,77.5,1,0,71.4,0.17,7.6,16.0,21.5,1783,98.2,4,1.7,100.0,68.6,0,7.2,47,1,land,0,0,3
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,82.7,770,0,10,long-term,19.7,4,Tier 3,0,90.0,1,0,86.9,0.06,3.4,26.7,13.2,1678,100.0,7,0.0,91.0,74.1,0,8.8,33,1,sea,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,99.3,1737,0,16,long-term,3.1,3,Tier 1,0,96.9,1,0,81.0,1.03,3.8,19.7,14.6,2399,100.0,9,0.0,100.0,58.4,0,0.4,37,3,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,87.0,715,0,14,long-term,1.0,4,Tier 2,0,90.0,1,0,82.5,0.17,2.4,4.8,20.1,2422,95.2,1,0.0,91.7,69.4,0,3.6,42,5,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,83.7,183,0,11,long-term,1.0,4,Tier 1,0,98.7,0,0,87.0,0.41,-3.4,12.2,14.7,2255,91.7,8,3.1,97.4,58.5,0,0.0,36,4,land,1,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,78.5,100,0,12,long-term,1.0,2,Tier 2,0,100.0,1,0,87.1,0.2,0.9,7.9,14.2,1212,97.2,14,0.9,100.0,63.4,1,7.0,31,8,air,0,0,0
Greece,Western Europe,0.24,67.5,3.8,50.0,0.0,0,0,89.8,1175,0,10,long-term,13.2,4,Tier 1,0,94.3,1,0,98.5,0.58,-1.7,3.2,8.4,1921,100.0,6,0.0,94.3,64.6,0,6.4,32,6,land,0,0,0
Ireland,Western Europe,0.9,62.5,0.8,76.0,0.0,0,0,85.7,390,0,11,long-term,7.3,3,Tier 1,0,87.6,1,0,76.9,0.08,5.1,10.1,19.1,1816,98.6,3,1.9,92.4,69.5,0,2.6,35,9,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,91.1,957,0,15,long-term,17.8,4,Tier 1,0,94.3,0,0,94.9,0.72,-5.0,2.2,11.5,1760,92.9,1,0.1,92.2,58.4,1,3.5,27,4,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,73.6,2198,0,11,long-term,11.9,3,Tier 1,0,85.1,1,0,88.5,0.07,-5.0,17.7,2.4,1979,90.2,18,2.2,98.5,72.6,0,0.0,45,7,sea,0,0,0
Belgium,Western Europe,0.4,77.5,1.7,69.0,0.0,0,0,85.9,630,0,9,spot,11.7,2,Tier 1,0,83.1,1,0,90.6,0.0,1.4,0.0,17.4,1859,96.5,14,0.0,91.0,61.5,0,7.2,35,1,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,94.0,1359,0,11,long-term,6.4,5,Tier 1,0,91.2,1,0,90.4,0.22,-3.2,20.5,12.4,1517,100.0,14,1.9,92.5,61.2,0,0.0,35,6,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,79.5,844,0,11,long-term,1.0,4,Tier 1,1,92.2,1,0,84.5,0.04,-5.0,5.0,9.5,1921,95.9,5,0.1,100.0,70.7,0,1.3,33,3,land,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,93.1,100,0,12,long-term,9.3,5,Tier 2,1,80.6,1,0,100.0,0.73,-4.6,18.6,5.5,2172,99.3,1,0.0,96.6,63.2,0,0.0,31,3,air,0,0,0
United States,North America,0.03,72.5,24.5,64.0,0.0,0,0,83.6,1019,0,10,long-term,1.0,4,Tier 2,0,89.8,1,0,74.0,0.0,-5.0,29.1,11.4,2005,97.3,2,3.1,100.0,65.2,0,0.0,34,1,air,0,0,0
Greece,Western Europe,0.24,67.5,3.8,50.0,0.0,0,0,91.0,2274,0,11,spot,1.0,5,Tier 1,0,92.7,1,0,88.1,0.78,4.4,9.2,5.5,1630,93.3,4,1.3,94.0,66.7,0,3.8,30,4,air,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,88.0,100,0,11,long-term,1.0,6,Tier 3,0,90.9,1,0,100.0,0.74,10.1,15.1,11.7,1885,93.7,4,1.1,93.8,55.0,0,2.8,28,4,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,83.3,571,0,10,long-term,1.0,5,Tier 1,0,89.6,1,0,73.4,0.54,0.9,8.1,13.8,1630,92.0,5,0.9,96.5,67.6,0,3.9,38,8,land,0,0,0
Mexico,North America,-0.63,45.0,8.6,27.0,40.3,0,0,87.2,1550,0,10,long-term,3.0,3,Tier 3,0,98.5,1,0,87.3,0.0,2.0,18.0,15.2,2317,98.8,7,0.0,94.4,72.1,0,9.2,41,1,land,0,0,0
Australia,Australia,0.92,77.5,4.0,76.0,0.0,0,0,60.9,791,0,9,long-term,16.8,4,Tier 1,0,74.8,1,0,98.3,0.39,6.8,4.1,9.8,1278,93.0,5,0.0,96.0,53.1,0,0.7,36,8,land,0,0,0
New Zealand,Australia,1.36,70.0,1.7,81.0,0.0,0,0,97.4,1456,0,16,long-term,3.0,4,Tier 2,1,76.1,1,1,100.0,0.04,-5.0,15.9,17.9,2684,100.0,1,3.8,97.9,60.0,0,0.0,43,6,land,0,0,0
